open,close,low,high,vol,time
9144.5,9143.5,9143.5,9145.0,0.0,2020-07-01 03:39:00
9143.5,9143.5,9143.5,9143.5,0.0,2020-07-01 03:40:00
9143.5,9145.5,9143.5,9145.5,955.548,2020-07-01 03:41:00
9145.5,9145.5,9145.5,9145.5,0.0,2020-07-01 03:42:00
9145.5,9146.0,9145.5,9147.5,8855.281,2020-07-01 03:43:00
9146.0,9145.0,9142.0,9146.0,0.0,2020-07-01 03:44:00
9145.0,9147.5,9144.5,9147.5,869.6895,2020-07-01 03:45:00
9147.5,9144.5,9143.5,9147.5,1578.1681,2020-07-01 03:46:00
9144.5,9142.5,9141.5,9144.5,4954.964,2020-07-01 03:47:00
9142.5,9145.5,9142.5,9145.5,173.717,2020-07-01 03:48:00
9145.5,9144.5,9144.5,9145.5,0.0,2020-07-01 03:49:00
9144.5,9152.5,9144.5,9153.5,8155.20265,2020-07-01 03:50:00
9152.5,9154.5,9152.0,9156.5,6599.827,2020-07-01 03:51:00
9154.5,9147.0,9147.0,9155.0,6157.91725,2020-07-01 03:52:00
9147.0,9148.0,9147.0,9148.0,0.0,2020-07-01 03:53:00
9148.0,9150.0,9148.0,9150.0,0.0,2020-07-01 03:54:00
9150.0,9147.5,9144.5,9150.0,4279.3915,2020-07-01 03:55:00
9147.5,9141.5,9141.5,9147.5,2539.9254,2020-07-01 03:56:00
9141.5,9144.5,9140.0,9146.0,7844.8403,2020-07-01 03:57:00
9144.5,9140.5,9140.5,9144.5,0.0,2020-07-01 03:58:00
9140.5,9133.0,9133.0,9142.0,3872.85615,2020-07-01 03:59:00
9133.0,9132.5,9130.0,9137.0,17078.8736,2020-07-01 04:00:00
9132.5,9139.5,9131.5,9142.5,34176.8285,2020-07-01 04:01:00
9139.5,9141.0,9138.5,9141.5,0.0,2020-07-01 04:02:00
9141.0,9142.5,9140.0,9142.5,0.0,2020-07-01 04:03:00
9142.5,9142.0,9141.5,9142.5,0.0,2020-07-01 04:04:00
9142.0,9147.0,9142.0,9148.5,198.4519,2020-07-01 04:05:00
9147.0,9143.5,9143.0,9147.0,32061.5371,2020-07-01 04:06:00
9143.5,9144.0,9143.5,9144.5,0.0,2020-07-01 04:07:00
9144.0,9148.5,9143.5,9148.5,2867.872,2020-07-01 04:08:00
9148.5,9146.5,9145.0,9148.5,0.0,2020-07-01 04:09:00
9146.5,9147.5,9146.0,9148.5,0.0,2020-07-01 04:10:00
9147.5,9150.0,9147.5,9150.0,0.0,2020-07-01 04:11:00
9150.0,9152.0,9147.0,9152.0,0.0,2020-07-01 04:12:00
9152.0,9152.0,9152.0,9152.5,4137.6192,2020-07-01 04:13:00
9152.0,9151.5,9151.5,9155.0,0.0,2020-07-01 04:14:00
9151.5,9151.0,9148.5,9152.5,6729.38055,2020-07-01 04:15:00
9151.0,9148.0,9147.5,9151.0,2205.46225,2020-07-01 04:16:00
9148.0,9153.5,9147.5,9153.5,6450.0639,2020-07-01 04:17:00
9153.5,9154.0,9153.0,9155.5,0.0,2020-07-01 04:18:00
